full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,draft_peak,college,years_until_retirement
Cheick Diallo,74,#14,Phoenix Suns,F-C,09/13/1996,6-8 / 2.03,219 lbs. / 99.3 kg.,$1678854,Mali,2016,2,33,Kansas,11
Yogi Ferrell,74,#3,Sacramento Kings,G,05/09/1993,6-0 / 1.83,178 lbs. / 80.7 kg.,$3150000,USA,2016,Undrafted,Undrafted,Indiana,8
Markelle Fultz,74,#20,Orlando Magic,G,05/29/1998,6-3 / 1.91,195 lbs. / 88.5 kg.,$9745200,USA,2017,1,1,Washington,13
Harry Giles,74,#20,Sacramento Kings,F-C,04/22/1998,6-11 / 2.11,232 lbs. / 105.2 kg.,$2578800,USA,2017,1,20,Duke,13
Moe Harkless,74,#0,New York Knicks,F,05/11/1993,6-7 / 2.01,208 lbs. / 94.3 kg.,$11011234,USA,2012,1,15,St. John's,8
Justin Jackson,74,#44,Dallas Mavericks,F-G,03/28/1995,6-7 / 2.01,201 lbs. / 91.2 kg.,$3280920,USA,2017,1,15,North Carolina,10
Tyler Johnson,74,#0,Brooklyn Nets,G,05/07/1992,6-3 / 1.91,186 lbs. / 84.4 kg.,$19428485,USA,2014,Undrafted,Undrafted,Fresno State,7
Derrick Jones,74,#5,Miami Heat,F,02/15/1997,6-6 / 1.98,195 lbs. / 88.5 kg.,$1645357,USA,2016,Undrafted,Undrafted,UNLV,12
Cory Joseph,74,#9,Sacramento Kings,G,08/20/1991,6-3 / 1.91,185 lbs. / 83.9 kg.,$12000000,Canada,2011,1,29,Texas,6
Maxi Kleber,74,#42,Dallas Mavericks,F-C,01/29/1992,6-10 / 2.08,211 lbs. / 95.7 kg.,$8000000,Germany,2014,Undrafted,Undrafted,No college,7
TJ Leaf,74,#22,Indiana Pacers,F-C,04/30/1997,6-10 / 2.08,222 lbs. / 100.7 kg.,$2813280,Israel,2017,1,18,UCLA,12
Doug McDermott,74,#20,Indiana Pacers,F,01/03/1992,6-7 / 2.01,218 lbs. / 98.9 kg.,$7333333,USA,2014,1,11,Creighton,7
E'Twaun Moore,74,#55,New Orleans Pelicans,G,02/25/1989,6-3 / 1.91,191 lbs. / 86.6 kg.,$8664928,USA,2011,2,55,Purdue,4
Joakim Noah,74,#0,Los Angeles Clippers,C,02/25/1985,6-11 / 2.11,227 lbs. / 103 kg.,$6813026,USA,2007,1,9,Florida,Old
Kyle O'Quinn,74,#9,Philadelphia 76ers,F-C,03/26/1990,6-9 / 2.06,240 lbs. / 108.9 kg.,$2174318,USA,2012,2,49,Norfolk State,5
Chandler Parsons,74,#0,Free agent,F,10/25/1988,6-9 / 2.06,200 lbs. / 90.7 kg.,$25102512,USA,2011,2,38,Florida,3
Norman Powell,74,#24,Toronto Raptors,G,05/25/1993,6-3 / 1.91,215 lbs. / 97.5 kg.,$10116576,USA,2015,2,46,UCLA,8
Ivan Rabb,74,#0,Free agent,F-C,02/04/1997,6-10 / 2.08,220 lbs. / 99.8 kg.,$451326,USA,2017,2,35,California,12
Glenn Robinson III,74,#22,Golden State Warriors,F,01/08/1994,6-6 / 1.98,211 lbs. / 95.7 kg.,$1882867,USA,2014,2,40,Michigan,9
Denzel Valentine,74,#45,Chicago Bulls,G,11/16/1993,6-4 / 1.93,210 lbs. / 95.3 kg.,$3377568,USA,2016,1,14,Michigan State,8
Robert Williams,74,#44,Boston Celtics,F-C,10/17/1997,6-8 / 2.03,237 lbs. / 107.5 kg.,$1937520,USA,2018,1,27,Texas A&M,12
Christian Wood,74,#35,Detroit Pistons,F,09/27/1995,6-10 / 2.08,216 lbs. / 98 kg.,$1645357,USA,2015,Undrafted,Undrafted,UNLV,10
Jaxson Hayes,74,#10,New Orleans Pelicans,F-C,05/23/2000,6-11 / 2.11,220 lbs. / 99.8 kg.,$4862040,USA,2019,1,8,Texas,15
Rui Hachimura,74,#8,Washington Wizards,F,02/08/1998,6-8 / 2.03,225 lbs. / 102.1 kg.,$4469160,Japan,2019,1,9,Gonzaga,13
OG Anunoby,73,#3,Toronto Raptors,F-G,07/17/1997,6-7 / 2.01,232 lbs. / 105.2 kg.,$2281800,United Kingdom,2017,1,23,Indiana,12
Dwayne Bacon,73,#7,Charlotte Hornets,G,08/30/1995,6-6 / 1.98,220 lbs. / 99.8 kg.,$1618520,USA,2017,2,40,Florida State,10
DeAndre Bembry,73,#95,Atlanta Hawks,F,07/04/1994,6-5 / 1.96,207 lbs. / 93.9 kg.,$2603981,USA,2016,1,21,Saint Joseph's,9
Jonah Bolden,73,#0,Phoenix Suns,F,01/02/1996,6-8 / 2.03,215 lbs. / 97.5 kg.,$1788296,Australia,2017,2,36,UCLA,11
Sterling Brown,73,#23,Milwaukee Bucks,G,02/10/1995,6-5 / 1.96,230 lbs. / 104.3 kg.,$1618520,USA,2017,2,46,SMU,10
Bruce Brown,73,#6,Detroit Pistons,G,08/15/1996,6-4 / 1.93,190 lbs. / 86.2 kg.,$1416852,USA,2018,2,42,Miami (Florida),11
Troy Brown,73,#6,Washington Wizards,F-G,07/28/1999,6-6 / 1.98,215 lbs. / 97.5 kg.,$3219480,USA,2018,1,15,Oregon,14
Alec Burks,73,#0,Philadelphia 76ers,G,07/20/1991,6-6 / 1.98,195 lbs. / 88.5 kg.,$2320044,USA,2011,1,12,Colorado,6
Alex Caruso,73,#4,Los Angeles Lakers,G,02/28/1994,6-5 / 1.96,186 lbs. / 84.4 kg.,$2750000,USA,2016,Undrafted,Undrafted,Texas A&M,9
Tyson Chandler,73,#19,Houston Rockets,C,10/02/1982,7-0 / 2.13,235 lbs. / 106.6 kg.,$2564753,USA,2001,1,2,No college,Old
Allen Crabbe,73,#0,Free agent,G-F,04/09/1992,6-5 / 1.96,197 lbs. / 89.4 kg.,$17818456,USA,2013,2,31,California,7
Matthew Dellavedova,73,#18,Cleveland Cavaliers,G,09/08/1990,6-3 / 1.91,190 lbs. / 86.2 kg.,$9607500,Australia,2013,Undrafted,Undrafted,Saint Mary's,5
James Ennis,73,#0,Orlando Magic,F,07/01/1990,6-6 / 1.98,201 lbs. / 91.2 kg.,$1882867,USA,2013,2,50,Long Beach State,5
Dorian Finney-Smith,73,#10,Dallas Mavericks,F,05/04/1993,6-7 / 2.01,213 lbs. / 96.6 kg.,$4000000,USA,2016,Undrafted,Undrafted,Florida,8
Shaquille Harrison,73,#3,Chicago Bulls,G,10/06/1993,6-7 / 2.01,190 lbs. / 86.2 kg.,$1620564,USA,2016,Undrafted,Undrafted,Tulsa,8
Aaron Holiday,73,#3,Indiana Pacers,G,09/30/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,$2239200,USA,2018,1,23,UCLA,11
Danuel House,73,#4,Houston Rockets,F,06/07/1993,6-6 / 1.98,220 lbs. / 99.8 kg.,$3540000,USA,2016,Undrafted,Undrafted,Texas A&M,8
Stanley Johnson,73,#5,Toronto Raptors,F,05/29/1996,6-6 / 1.98,242 lbs. / 109.8 kg.,$3623000,USA,2015,1,8,Arizona,11
Tyus Jones,73,#21,Memphis Grizzlies,G,05/10/1996,6-0 / 1.83,185 lbs. / 83.9 kg.,$10116000,USA,2015,1,24,Duke,11
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/1997,6-7 / 2.01,185 lbs. / 83.9 kg.,$1620564,Turkey,2016,1,26,No college,12
Ian Mahinmi,73,#28,Washington Wizards,C,11/05/1986,6-11 / 2.11,230 lbs. / 104.3 kg.,$15450051,France,2005,1,28,No college,1
CJ Miles,73,#0,Free agent,G-F,03/18/1987,6-6 / 1.98,232 lbs. / 105.2 kg.,$8730158,USA,2005,2,34,No college,2
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,07/01/1991,6-10 / 2.08,230 lbs. / 104.3 kg.,$2028594,USA,2013,2,44,Bucknell,6
Frank Ntilikina,73,#11,New York Knicks,G,07/28/1998,6-4 / 1.93,190 lbs. / 86.2 kg.,$4855800,France,2017,1,8,No college,13
David Nwaba,73,#0,Houston Rockets,G,01/14/1993,6-5 / 1.96,210 lbs. / 95.3 kg.,$2581965,USA,2016,Undrafted,Undrafted,Cal Poly,8
